player_name(team_name),m1(run),m1(bowl),m1(sr),m1(op),m1(vnu),m2(run),m2(bowl),m2(sr),m2(4),m2(6),m2(op),m2(vnu),m3(run),m3(bowl),m3(sr),m3(4),m3(6),m3(op),m3(vnu),m4(run),m4(bowl),m4(sr),m4(4),m4(6),m4(op),m4(vnu),m5(run),m5(bowl),m5(sr),m5(4),m5(6),m5(op),m5(vnu),m6(run),m6(bowl),m6(sr),m6(4),m6(6),m6(op),m6(vnu),m7(run),m7(bowl),m7(sr),m7(4),m7(6),m7(op),m7(vnu),m8(run),m8(bowl),m8(sr),m8(4),m8(6),m8(op),m8(vnu),m9(run),m9(bowl),m9(sr),m9(4),m9(6),m9(op),m9(vnu),m10(run),m10(bowl),m10(sr),m10(4),m10(6),m10(op),m10(vnu),t(50),t(100),t(4),t(6),truns,tbf,avg.run,avg.sr,rf(50),rf(100),drb,truns(%),tbf(%),country,player_role,match_format,venue_type,opposition,pitch_type,weather,opposition_strength,recent_form_score,consistency_score,performance_label,source_file,wickets,m1(rab),m1(4),m1(6),m1(over),m1(wic),m1(mdn),m1(ecn),m1(w/l),m2(rab),m2(over),m2(wic),m2(mdn),m2(ecn),m2(w/l),m3(rab),m3(over),m3(wic),m3(mdn),m3(ecn),m3(w/l),m4(rab),m4(over),m4(wic),m4(mdn),m4(ecn),m4(w/l),m5(rab),m5(over),m5(wic),m5(mdn),m5(ecn),m5(w/l),m6(rab),m6(over),m6(wic),m6(mdn),m6(ecn),m6(w/l),m7(rab),m7(over),m7(wic),m7(mdn),m7(ecn),m7(w/l),m8(rab),m8(over),m8(wic),m8(mdn),m8(ecn),m8(w/l),m9(rab),m9(over),m9(wic),m9(mdn),m9(ecn),m9(w/l),m10(rab),m10(over),m10(wic),m10(mdn),m10(ecn),m10(w/l),t.wic,t.mdn,avg.rab,avg.bf,batting.sr,avg.over,avg.run.given,ecn,trab,t.over,ballsbowled,trungiven,bsr,unnamed:_0
Umer Amin,0.0,4.18,0.0,Australia,Dubai,20.72,27.16,69.98,1.0,1.98,Australia,Dubai,7.03,13.57,56.5,1.0,0.0,Australia,Dubai,63.82,62.63,102.96,8.84,1.01,Australia,Dubai,62.79,75.77,87.68,5.92,0.96,Australia,Dubai,7.87,16.63,45.35,0.99,0.0,Australia,Dubai,4.88,4.89,102.25,1.0,0.0,Australia,Dubai,35.62,42.57,80.07,5.84,0.0,Australia,Dubai,111.25,137.01,82.34,13.05,0.97,Australia,Dubai,35.86,39.1,40.62,1.02,2.05,Australia,Dubai,1.91,1.02,40.42,6.7,356.73,405.2,36.85,82.89,0.2,0.1,-71.17,3.69,4.44,Australia,Batsman,ODI,Home,India,Batting,Clear,85.73,34.54,70.85,26.48,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taufeeq Umer,5.08,11.56,43.61,Australia,Dubai,26.97,30.87,81.42,2.85,0.97,Australia,Dubai,74.42,101.08,75.77,5.14,1.94,Australia,Dubai,71.5,94.98,74.38,6.05,2.1,Australia,Dubai,24.79,33.32,69.23,2.88,0.0,Australia,Dubai,20.35,25.15,85.1,0.0,1.03,Australia,Dubai,23.21,44.95,48.98,1.91,0.98,Australia,Dubai,14.11,23.09,62.61,2.05,0.0,Australia,Dubai,80.66,130.08,65.21,6.2,2.07,Australia,Dubai,6.81,20.93,30.38,1.0,0.0,Australia,Dubai,2.87,0.0,29.07,9.01,351.47,511.48,36.3,69.38,0.31,0.0,-164.43,3.4,4.99,Australia,Batsman,ODI,Away,Pakistan,Bowling,Humid,79.81,24.22,60.2,20.76,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoaib Maqsood,13.39,25.94,52.18,Australia,Dubai,3.0,8.25,36.12,0.0,0.0,Australia,Dubai,17.67,41.28,43.82,2.01,0.0,Australia,Dubai,14.0,25.1,49.79,3.07,0.0,Australia,Dubai,48.93,61.6,77.04,3.84,1.94,Australia,Dubai,68.99,96.96,71.61,7.33,0.0,Australia,Dubai,75.27,108.96,75.96,8.21,0.0,Australia,Dubai,8.83,19.2,46.86,0.0,0.0,Australia,Dubai,15.44,11.15,149.67,2.03,0.0,Australia,Dubai,17.26,23.54,75.54,2.02,0.0,Australia,Dubai,3.06,0.0,31.42,1.95,288.73,408.88,28.88,67.65,0.3,0.0,-125.97,2.91,4.04,Australia,Batsman,ODI,Home,West Indies,Bowling,Overcast,73.05,33.55,52.69,21.41,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoaib Hassan,61.2,79.44,76.74,Australia,Dubai,0.0,0.98,0.0,0.0,0.0,Australia,Dubai,45.16,46.64,97.85,5.16,1.03,Australia,Dubai,8.01,11.84,69.51,0.0,0.0,Australia,Dubai,9.55,15.95,64.82,0.0,0.0,Australia,Dubai,0.0,1.02,0.0,0.0,0.0,Australia,Dubai,7.96,13.69,55.9,2.05,0.0,Australia,Dubai,60.59,72.04,84.25,7.02,0.0,Australia,Dubai,61.62,55.63,130.62,3.81,0.0,Australia,Dubai,5.18,4.19,125.61,1.03,0.0,Australia,Dubai,2.94,0.0,25.48,1.91,253.23,314.2,25.63,84.9,0.29,0.0,-46.87,2.65,2.95,Australia,Batsman,ODI,Away,South Africa,Batting,Humid,76.76,27.72,52.38,20.43,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed Ali,44.72,62.39,72.43,Australia,Dubai,52.49,83.59,156.74,3.86,0.0,Australia,Dubai,9.59,43.58,22.5,0.0,0.0,Australia,Dubai,19.06,27.02,80.76,1.95,0.0,Australia,Dubai,1.04,6.95,14.79,0.0,0.0,Australia,Dubai,39.46,52.41,78.35,6.14,0.0,Australia,Dubai,9.36,12.31,72.05,2.06,0.0,Australia,Dubai,49.42,83.77,58.21,3.04,0.98,Australia,Dubai,58.88,32.83,170.17,1.96,2.06,Australia,Dubai,66.48,89.66,132.98,2.01,2.0,Australia,Dubai,2.95,0.0,24.97,6.17,345.14,479.12,33.8,68.98,0.31,0.0,-149.33,3.56,5.0,Australia,Batsman,ODI,Neutral,Bangladesh,Bowling,Overcast,61.3,17.64,47.94,25.47,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shahzaib Hassan,13.45,31.93,152.56,Australia,Dubai,12.35,17.54,42.63,0.0,1.04,Australia,Dubai,30.13,67.45,67.49,1.96,0.0,Australia,Dubai,18.87,51.83,43.87,2.93,0.0,Australia,Dubai,24.42,42.77,35.12,1.99,0.0,Australia,Dubai,24.58,40.83,55.98,3.07,0.95,Australia,Dubai,16.69,25.2,59.67,1.01,0.0,Australia,Dubai,14.64,25.54,61.75,3.06,0.0,Australia,Dubai,9.89,21.66,56.37,1.91,0.0,Australia,Dubai,9.54,20.61,49.67,1.02,0.0,Australia,Dubai,0.0,0.0,20.81,2.01,168.7,336.78,17.1,47.94,0.0,0.0,-174.44,1.73,3.44,Australia,Batsman,ODI,Neutral,South Africa,Bowling,Overcast,83.49,35.11,61.83,10.8,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salman Butt,30.01,63.4,48.48,Australia,Dubai,35.96,62.1,56.2,2.08,1.0,Australia,Dubai,99.25,91.06,111.01,9.36,4.19,Australia,Dubai,47.59,63.53,68.62,1.03,0.99,Australia,Dubai,10.43,12.45,75.9,2.08,0.0,Australia,Dubai,62.66,104.01,60.24,4.77,0.0,Australia,Dubai,10.66,16.11,68.22,1.96,0.0,Australia,Dubai,70.46,119.26,55.87,6.78,0.0,Australia,Dubai,45.49,68.9,67.62,2.06,0.0,Australia,Dubai,11.59,21.68,57.65,1.03,0.0,Australia,Dubai,2.05,1.02,34.5,5.83,437.68,633.3,41.67,70.98,0.21,0.1,-187.28,4.26,6.43,Australia,Batsman,ODI,Away,New Zealand,Balanced,Clear,77.02,32.6,56.31,24.95,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasir Jamsheed,0.0,2.97,0.0,Australia,Dubai,28.89,37.68,77.53,4.12,0.0,Australia,Dubai,111.88,85.49,119.94,8.55,2.87,Australia,Dubai,0.0,1.04,0.0,0.0,0.0,Australia,Dubai,15.33,20.75,71.63,0.98,0.0,Australia,Dubai,27.42,35.17,79.13,3.06,0.0,Australia,Dubai,42.22,56.97,74.26,4.84,1.0,Australia,Dubai,5.12,9.19,57.82,0.97,0.0,Australia,Dubai,138.33,124.63,105.67,14.12,2.08,Australia,Dubai,21.5,39.45,52.35,1.97,0.0,Australia,Dubai,0.0,2.02,37.7,5.76,370.77,430.99,36.65,91.35,0.0,0.19,-33.35,3.77,4.36,Australia,Batsman,ODI,Neutral,England,Batting,Overcast,84.25,28.52,58.18,25.36,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammad Yausaf,0.0,3.92,0.0,Australia,Dubai,0.98,1.04,95.76,0.0,0.0,Australia,Dubai,22.6,23.77,129.81,0.0,0.0,Australia,Dubai,0.95,7.23,150.61,0.0,0.0,Australia,Dubai,50.02,69.27,87.93,1.96,0.0,Australia,Dubai,65.9,77.95,67.77,2.04,0.97,Australia,Dubai,67.93,54.03,67.3,1.94,0.0,Australia,Dubai,54.31,54.48,103.99,2.99,0.0,Australia,Dubai,65.07,55.42,130.08,2.09,2.86,Australia,Dubai,53.33,51.32,99.54,3.11,1.01,Australia,Dubai,5.1,0.0,14.52,4.92,362.44,394.46,37.99,90.27,0.52,0.0,-22.08,3.83,4.09,Australia,Batsman,ODI,Neutral,Afghanistan,Balanced,Overcast,54.61,15.89,71.66,30.48,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammad Rizwan,4.15,10.44,104.35,Australia,Dubai,0.99,7.3,14.09,0.0,0.0,Australia,Dubai,0.0,1.01,0.0,0.0,0.0,Australia,Dubai,28.98,21.3,129.28,1.05,2.1,Australia,Dubai,69.05,37.35,175.22,2.03,7.06,Australia,Dubai,8.61,15.47,59.84,0.96,0.0,Australia,Dubai,2.08,4.88,39.29,0.0,0.0,Australia,Dubai,27.36,25.5,105.74,0.0,1.92,Australia,Dubai,1.04,2.02,49.26,0.0,0.0,Australia,Dubai,18.81,9.99,177.79,0.0,2.06,Australia,Dubai,1.01,0.0,5.2,13.43,158.79,131.67,16.47,116.88,0.1,0.0,25.94,1.65,1.4,Australia,Batsman,ODI,Neutral,Sri Lanka,Balanced,Overcast,66.32,24.63,42.95,22.25,test__static__Batsman Dataset (Australia).csv,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
